page,idx_on_page,question,answer
1,1,[ 모젠서비스 > 이용단말 ]내비게이션의 지도 업그레이드는 어떻게 하나요?,
1,2,[ 블루링크 > 가입/해지/변경 ][가입] 블루링크에 가입하려면 어떻게 해야 하나요?,"차종에 따른 가입방법은 현대자동차 홈페이지 내 블루링크 이용안내 페이지에서 확인하실 수 있습니다.
※ 현대자동차 홈폐이지 > 고객서비스 > 블루링크 > 이용안내 > 서비스 가입 ▶바로가기"
1,3,[ 차량정비 > 일반 ]에어컨 성능을 향상시키는 방법 안내,"●에어컨 작동은 1단부터 작동하기 보다는 최고단수부터 작동하는 것이 좋습니다.

☞에어컨을 처음 틀때 1,2단이 아닌 3,4단부터 시작하는 게 냉각효율과 에너지 절약에 도움되며,
공기순환 모드를 잘 활용하면 냉방효과를 더욱 높일 수 있습니다.
차내 급속 냉방을 위해서는 내기순환 모드에서 에어컨을 가동하고, 최고단수로 5분 정도 작동한 뒤
조정하는 게 효과적입니다.

●에어컨 콘덴서(응축기)를 청소합시다.

☞엔진오일 교환이나 세차 때 정비사에게 에어컨 컨덴서(응축기) 외부에 붙어있는 벌레,이물질,먼지
등을 압축공기나 고압세차기로 청소해달라고 부탁하면 10% 정도의 냉각효을 상승 효과를 기대
할 수 있습니다.
콘덴서는 라디에이터 앞에 설치돼 차량속도와 냉각팬에 의해 기체상태의 냉매를 고압의 액체상태로
만드는 장치로, 이물질이 붙어 있으면 공기가 잘 통하지 못해 냉각효율이 떨어집니다.

●차 안의 열을 식힌 후 에어컨을 사용하세요.

☞강한 여름볕에 장시간 주차했을 때 실내도는 80도 가까이 올라간다고 합니다.
이런 차 안에서 바로 에어컨을 작동시켜도 에어컨 효과를 보기가 어렵습니다. 우선, 차문 한쪽을 열고
반대쪽 문을 열었다 닫었다를 수 차례 반복하여 실내의 더운공기를 배출하여 열을 식힌 후 에어컨을
켜야하며, 주차는 그늘을 찾아서 주차하는게 좋습니다.

●실내 에어필터를 점검하고 교환합시다.

☞요즘 차들은 대부분 실내 에어필터가 달려 나옵니다.
하지만 자신의 차량에 에어필터가 달려 있는지 조차 모르는 운전자도 적지 않습니다.
실내 에어필터를 제때 갈아주지 않으면 퀴퀴한 냄새뿐 아니라 바람까지 약하게 나옵니다.

항균필터가 달린 차라면 국내여건상 봄에는 황사, 여름에는 에어컨 사용, 겨울에는 히터를 사용하기 전
최소한 1년에 3번 정도는 필터 점검이 필요하며, 오염이 심할경우 교환해주고 매 15,000km 마다
교환하도록 되어 있습니다.
항균필터를 떼어낸 후 바람을 최대한으로 돌리면 공기 통로에 있는 먼지를 털어 낼 수 있습니다.^^"
1,4,[ 블루링크 > 서비스 이용 ][원격제어] 원격 공조 제어 서비스 이용시 시동만 켤 수는 없나요?,원격시동/공조 기능은 공조를 미리 제어 하기 위해 시동이 함께 필요한 서비스이므로 분리해서 사용이 불가능합니다.
1,5,[ 블루링크 > 서비스 이용 ][가입확인서] 가입확인서는 어떻게 발급받나요?,"가입확인서는 홈페이지와 블루링크 어플리케이션을 통해 발급받으실 수 있습니다.
▶ 홈페이지
1) 현대자동차 홈페이지(www.hyundai.com) 로그인
2) 우측 상단 '마이페이지' 클릭
3) 최하단 '블루링크 가입확인서 발급' 클릭
▶ 블루링크 어플리케이션
1) 어플리케이션 로그인
2) 메인화면 좌측 상단의 '메뉴(三)' 버튼 클릭
3) '월간 리포트' 클릭
4) '블루링크 가입확인서 발급' 항목의 '가입확인서 발급' 클릭"
1,6,"[ 차량정비 > 일반 ]리모컨,스마트키 분실 또는 추가로 구입을 원할경우","리모컨 분실로 추가 구입을 원하실 경우, 당사 서비스망에 차를 가지고 내방을 하시거나,
모비스 부품대리점을 통해 리모컨을 선구입후 (현대 모비스(1588-7278)로 문의) 차량과 함께
현대자동차 서비스망 내방 하셔서 주파수 셋팅 후에 사용 하시면 됩니다.

※ 당사 서비스망은 현대자동차홈페이지 > 고객서비스 > 서비스네트워크 > 서비스네트워크 검색/예약 참조 ▶바로가기"
1,7,[ 블루링크 > 가입/해지/변경 ][해지] 블루링크를 해지하려면 어떻게 해야 하나요?,"블루링크 센터를 통해 서비스를 해지하실 수 있습니다.
① 블루링크 센터 전화 연결
② 해지 신청서 작성 및 구비서류 준비
- 해지신청서는 홈페이지의 블루링크 자료실에서 다운로드하실 수 있습니다.
- 구비서류
> 개인 : 신분증 사본
> 개인사업자 : 본인(대표자) 신분증 사본, 사업자등록증 사본, 인감증명서, 직원의 신분증 또는 재직증명서
> 법인 : 사업자 등록증 사본, 인감증명서, 직원의 신분증 혹은 재직증명서
> 대리인이 해지 신청을 하시는 경우
☞ 전화로 고객 본인 의사 확인 가능시 : 가입자 신분증 및 대리인 신분증 사본
☞ 전화로 고객 본인 의사 확인이 불가능시 : 대리인의 신분증 및 위임장(인감 날인)
③ 팩스나 이메일을 이용해 블루링크 센터에 해지 신청서와 구비서류 제출
- FAX : 031-8086-1894
- 이메일 : tmsmaster@hyundai.com

※ 블루링크 센터
- 전화 : 1899-0606
- 업무시간 : 평일 09:00 ~ 18:00 (토/일요일 및 공휴일 휴무)"
1,8,[ 블루링크 > 서비스 이용 ][원격제어] 블루링크 어플리케이션 인증 비밀번호 변경은 어떻게 하나요?,"블루링크 센터 또는 현대자동차 홈페이지를 통해 변경이 가능합니다.
※ 블루링크 센터
- 전화 : 1899-0606
- 업무시간 : 평일 09:00 ~ 18:00 (토/일요일 및 공휴일 휴무)"
1,9,[ 블루링크 > 서비스 이용 ][원격제어] 다른 가족의 스마트폰에서도 블루링크 어플리케이션 사용이 가능한가요?,"로그인 정보 입력 후 차량 계약자 핸드폰 번호로 발송된 인증번호를 입력하시면, 다른 스마트폰에서도 이용 가능합니다.
다만 로그인 정보는 개인정보와 관련된 사항이니 고객님의 각별한 주의가 필요합니다."
1,10,[ 블루링크 > 서비스 이용 ][안전보안] 현대 긴급 출동봉사반에서 와서 시동을 걸어주는 경우 추가 비용이 드나요?,"현대 긴급출동의 경우, 보증수리 대상인 경우에는 출동비가 무상이나, 보증수리 초과 차량의 출동비는 현장에서 청구되며,
보증수리 차량의 경우에도 출동비는 무상이나 소요된 부품 등에 대해서는 고객이 비용을 지급합니다."
2,1,[ 블루링크 > 요금 ][요금] 블루링크 이용 요금은 얼마인가요?,
2,2,[ 차량정비 > 일반 ]신차 출고 후 이전처럼 꼭 처음에 엔진오일 교환해야되는건가요? (최초 엔진오일 교환시점),"엔진오일 교환 주기는 통상/가혹 조건에 따라 교환해주시면 되는데, 통상조건으로는 매 15,000㎞(또는 12개월),
가혹조건으로는 매 7,500㎞(또는 6개월)마다 교환해 주시면 좋을것 같습니다.
※단, 차종 및 엔진별 엔진오일 교환주기는 다르기 때문에, 취급설명서내 정기점검 주기표를 참고 바랍니다.

[참고] 가혹조건이란?
－짧은 거리를 반복해서 주행
－험한길(모래 자갈길,비포장길,먼지가 많은 지역)을 반복해서 주행했을때
－급출발,급가속,공회전을 과다하게 수행했을때

※ 현대자동차 홈폐이지 > 하단 '자료실' 에서 차종별 취급설명서 검색 ▶바로가기"
2,3,[ 차량구매 > 일반 ]장애인 조건으로 차량구입시 혜택을 알고 싶습니다.,"▶장애인 조건으로 차량 구입시 혜택은 크게 3가지 입니다.
① 차량 개소세 면세
② 지방세(취득세, 등록세, 자동차세)면세(서울시 기준)
③ 공채매입 면세

이중 일반장애 1~3급 및 국가유공상이 1~7급은 1,2,3번의 혜택을 모두 받으실 수 있으며
그 이외의 장애등급 고객께서는 공채매입 면제만 가능합니다.(서울시 기준)

※지방세 면세내용은 각 지방자치단체 조례에 따라 상이하므로 반드시 해당 지방자치단체로
문의 및 구입전 확인을 요합니다."
2,4,[ 블루링크 > 서비스 이용 ][단말기] 블루링크 전화번호(차량 전화번호)는 어디서 확인하나요?,"내비게이션 홈화면에서 [전체 메뉴] 선택 ▶ [블루링크] 선택 ▶ [블루링크 설정] 선택 ▶ [모뎀 정보] 선택 후 ‘전화번호’에서 확인하실 수 있습니다.
※ 차종에 따라 확인 방법이 일부 상이할 수 있습니다."
2,5,[ 차량정비 > 일반 ]차종별 보증기간 문의,"차량 구입시 취급설명서에 해당차량 보증기간 세부사항이 명기 되어 있습니다.

※ 현대자동차 홈페이지 > 고객서비스 > 차량관리 서비스 > 보증수리 안내 >일반 보증기간 바로가기 ▶
※ 현대자동차 홈폐이지 > 하단 '자료실' 에서 차종별 취급설명서 검색 바로가기 ▶"
2,6,[ 차량정비 > 일반 ]인텔리전트 내비게이션 업데이트 하려고 하는데요. 방법이 어떻게 되나요?,"내비게이션 업데이트 방법은 기존 웹 다운로드 방식과 스마트 업데이터 방식이 있습니다.

""스마트 업데이터 플러스""란?
현대자동차 순정 내비게이션 업그레이드를 손쉽게 자신의 컴퓨터에 다운로드 받아서
설치 할 수 있도록 도와주는 프로그램 입니다.

※ 자세한 업데이트 방법은 당사 홈페이지 참고 바랍니다.
※ 현대자동차 홈페이지 > 고객서비스 > 차량관리서비스 > 내비게이션 / 빌트인 캠 업데이트 바로가기 ▶"
2,7,[ 차량구매 > 일반 ]현대자동차에서 중고차를 구입할 수 있나요?,"저희 현대자동차는 신차를 제조하여 판매를 사업영역으로 하는 회사로
중고차의 매입 및 판매는 시행하지 않습니다.

※ 고객분들의 편리하고 안전한 중고차 거래를 위해 사이트 운영중이니 참고하시기 바랍니다.
현대자동차 홈페이지 > 고객서비스 > 차량관리서비스 > 중고차 > 내차팔기 바로가기 ▶
단,현대자동차㈜는 통신판매 중개자로서 해당 사이트의 책임은 현대글로비스㈜와 ㈜유카에 있습니다."
2,8,[ 차량구매 > 일반 ]포인트는 유효기간이 있나요?,"▶ 현대카드M M포인트 및 현대자동차 제휴카드 포인트의 유효기간은 최초적립일로부터
     만 5년 입니다. 따라서 이 기간이 지난 포인트는 최초적립일로부터 월단위로 소멸됩니다."
2,9,[ 모젠서비스 > 사용법 ]보증 수리기간이 어떻게 되나요?,"모젠 단말기의 보증수리 기간은 구입한 신차의 보증 내용 및 규약에 종속됩니다. 현대자동차의 보증수리 기간은 차종, 동력전달장치, 일반부품 등에 따라 차이가 있으며, 모젠 단말기는 일반부품의 보증기간에 따릅니다."
2,10,[ 블루링크 > 가입/해지/변경 ][가입] 블루링크가 장착된 차량을 중고로 구매하였습니다. 블루링크 가입이 가능한가요?,"블루링크 센터에 연락하시어 가입 신청을 하신 후 이용하실 수 있습니다.
※ 차종에 따라 가입 완료 안내 문자 수신 후 차량 내 설정이 필요할 수 있습니다.
※ 중고차로 서비스 가입시에는 기본 서비스 무료 제공 혜택이 제공되지 않습니다.
※ 블루링크 센터
- 전화 : 1899-0606
- 업무시간 : 평일 09:00 ~ 18:00 (토/일요일 및 공휴일 휴무)"
3,1,[ 모젠서비스 > 사용법 ]모젠 요금제는 어떤 종류가 있나요?,
3,2,[ 차량정비 > 일반 ]스마트키 차량인데요. 중립 주차를 하려는데 N단에서 시동을 꺼도 꺼지지가 않는데 다른 방법이 있나요?,"[핸드/풋 파킹 브레이크 적용 차량]
① 주차브레이크를 작동시키고, 브레이크 페달을 밟은 상태에서 「P」 (주차) 위치에 두고 엔진을 정지시키십시오.
스마트 키 장착 차량은 「P」 (주차) 위치에서만 시동을 끌 수 있습니다.
「P」 (주차) 위치가 아닌 곳에서 시동 버튼을 누르면 「ACC」 상태로 됩니다.
② 바퀴에 고임목을 설치하십시오.
③ 주차 브레이크를 해제하십시오.
④ 브레이크를 밟고, 변속레버 앞쪽에 위치한「SHIFT LOCK RELEASE」버튼(버튼커버가 있을 시 열고 키를 꽂아 누르고)
누르고 자동변속기의 위치를「N」(중립)위치로 변속하십시오.
「P」(주차) 위치는 변속기가 잠기는 위치로 차량을 쉽게 움직일 수 없는 위치 입니다.

[전자 파킹 브레이크 적용 차량]
① 주차 블레이크 스위치를 당긴후 5초이내에 주차 브레이크 해제된 상태로 브레이크 페달을 밟은 상태에서 변속레버를 「P」(주차)위치에 두고 시동을 끄십시오.
② 바퀴에 고임목을 설치하십시오.
③ 브레이크를 밟고, 변속레버 앞쪽에 위치한「SHIFT LOCK RELEASE」버튼(버튼커버가 있을 시 열고 키를 꽂아 누르고)
누르고 자동변속기의 위치를「N」(중립)위치로 변속하십시오.
「P」(주차) 위치는 변속기가 잠기는 위치로 차량을 쉽게 움직일 수 없는 위치 입니다.

※ 단,위와 같은 비상시 주차를 제외하고는 항상 안전을 위하여 「P」(주차) 위치에 놓고 주차 브레이크를 작동 하십시오."
